Wall time,Step,Value
1727450081.366562,5517,1.0
1727450085.023273,5541,1.0
1727450086.3368256,5549,1.0
1727450088.9406557,5566,1.0
1727450089.7002294,5571,1.0
1727450089.9770567,5573,1.0
1727450091.7768588,5585,1.0
1727450092.0769155,5587,1.0
1727450093.0677462,5593,1.0
1727450094.8746262,5605,1.0
1727450095.717162,5610,1.0
1727450097.2171533,5620,1.0
1727450098.7971056,5630,1.0
1727450103.0821962,5658,1.0
1727450103.3971155,5660,1.0
1727450103.9773862,5664,1.0
1727450106.2375247,5679,1.0
1727450112.4226122,5720,1.0
1727450112.8909378,5723,1.0
1727450115.7053044,5741,1.0
1727450118.3527765,5759,1.0
1727450120.8987298,5776,1.0
1727450121.3703227,5779,1.0
1727450122.0981245,5784,1.0
1727450122.8589492,5789,1.0
1727450125.5780666,5807,1.0
1727450126.2784443,5808,1.0
1727450128.818727,5825,1.0
1727450129.253023,5828,1.0
1727450130.2937133,5835,1.0
1727450134.3788269,5862,1.0
1727450134.708735,5864,1.0
1727450135.803585,5871,1.0
1727450138.5388336,5889,1.0
1727450139.9087102,5898,1.0
1727450141.2688587,5907,1.0
1727450142.8233938,5917,1.0
1727450144.4787977,5928,1.0
1727450145.0787475,5932,1.0
1727450145.2188294,5933,1.0
1727450148.1139224,5952,1.0
1727450148.8717728,5957,1.0
1727450149.17284,5959,1.0
1727450149.7494051,5963,1.0
1727450151.1418176,5972,1.0
1727450154.1191244,5990,1.0
1727450157.1095552,6010,1.0
1727450157.8433778,6015,1.0
1727450159.2710404,6024,1.0
1727450160.1646562,6030,1.0
1727450160.3155067,6031,1.0
1727450161.0244787,6035,1.0
1727450161.4644167,6038,1.0
1727450164.7791917,6060,1.0
1727450167.5195503,6078,1.0
1727450168.1200335,6082,1.0
1727450168.8865054,6087,1.0
1727450171.3097208,6103,1.0
1727450171.5948231,6105,1.0
1727450173.106782,6115,1.0
1727450173.9699495,6121,1.0
1727450174.2792916,6123,1.0
1727450175.209837,6129,1.0
1727450175.5158346,6131,1.0
1727450175.8098874,6133,1.0
1727450177.6353843,6145,1.0
1727450177.960142,6147,1.0
1727450178.2903042,6149,1.0
1727450181.7420475,6172,1.0
1727450183.100828,6181,1.0
1727450183.540132,6184,1.0
1727450185.9804788,6200,1.0
1727450187.6107376,6211,1.0
1727450187.8903437,6213,1.0
1727450188.8139982,6219,1.0
1727450190.8707716,6232,1.0
1727450191.6128738,6237,0.20000000298023224
1727450192.7742827,6244,0.699999988079071
1727450193.6709445,6250,0.800000011920929
1727450195.620848,6263,0.9000000357627869
1727450199.4549038,6289,1.0
1727450203.0543406,6312,1.0
1727450203.6393766,6316,1.0
1727450203.7838626,6317,1.0
1727450204.8472762,6324,1.0
1727450207.4374785,6341,1.0
1727450209.1364243,6352,1.0
1727450210.7412736,6363,1.0
1727450211.8141322,6370,1.0
1727450212.7293801,6376,1.0
1727450216.3770242,6400,1.0
1727450224.574141,6455,1.0
1727450225.2219782,6459,1.0
1727450227.186801,6472,1.0
1727450229.452192,6487,1.0
1727450230.6721792,6495,1.0
1727450230.812144,6496,1.0
1727450231.38516,6500,1.0
1727450232.892235,6510,1.0
1727450234.3919854,6520,1.0
1727450234.5429945,6521,1.0
1727450234.6919808,6522,1.0
1727450235.919004,6530,1.0
1727450238.9822347,6550,1.0
1727450242.5751374,6574,1.0
1727450243.6328318,6581,1.0
1727450244.0627413,6584,1.0
1727450245.6428633,6594,1.0
1727450246.9725962,6603,1.0
1727450247.4626145,6606,1.0
1727450248.943917,6616,1.0
1727450249.6753395,6621,1.0
1727450255.1631234,6657,1.0
1727450256.4731019,6666,1.0
1727450256.792207,6668,1.0
1727450257.4317567,6672,1.0
1727450258.344703,6678,1.0
